datetime,date,time,price,volume
20220225 161545,20220225,161545,9.9,1
20220225 161550,20220225,161550,10.0,1
20220225 161550,20220225,161550,10.0,1
20220225 161556,20220225,161556,10.0,1
20220225 161556,20220225,161556,10.0,1
20220225 161557,20220225,161557,10.5,1
20220225 161557,20220225,161557,10.5,1
20220225 161557,20220225,161557,10.0,10
20220225 161557,20220225,161557,10.0,10
20220225 161600,20220225,161600,10.5,15
20220225 161600,20220225,161600,10.5,15
20220225 161600,20220225,161600,10.5,5
20220225 161600,20220225,161600,10.5,5
20220225 161601,20220225,161601,10.0,1
20220225 161601,20220225,161601,10.0,1
20220225 161608,20220225,161608,9.8,20
20220225 161608,20220225,161608,9.8,20
20220225 161615,20220225,161615,10.0,2
20220225 161615,20220225,161615,10.0,2
20220225 161624,20220225,161624,10.0,10
20220225 161624,20220225,161624,10.0,10
20220225 161639,20220225,161639,10.0,3
20220225 161639,20220225,161639,10.0,1
20220225 161639,20220225,161639,10.0,2
20220225 161645,20220225,161645,10.0,2
20220225 161645,20220225,161645,10.0,2
20220225 161736,20220225,161736,10.0,1
20220225 161736,20220225,161736,10.0,1
20220225 161824,20220225,161824,10.0,3
20220225 161824,20220225,161824,10.0,3
20220225 161849,20220225,161849,10.5,1
20220225 161849,20220225,161849,10.5,1
20220225 161855,20220225,161855,10.5,1
20220225 161855,20220225,161855,10.5,1
20220225 161901,20220225,161901,10.5,9
20220225 161901,20220225,161901,10.5,9
20220225 161904,20220225,161904,11.0,1
20220225 161904,20220225,161904,11.0,1
20220225 161910,20220225,161910,10.5,1
20220225 161910,20220225,161910,10.5,1
20220225 161927,20220225,161927,10.0,6
20220225 161927,20220225,161927,10.0,6
20220225 161929,20220225,161929,10.0,1
20220225 161929,20220225,161929,10.0,1
20220225 161944,20220225,161944,10.0,31
20220225 161944,20220225,161944,10.0,2
20220225 161944,20220225,161944,10.0,28
20220225 161944,20220225,161944,10.0,1
20220225 161944,20220225,161944,10.0,10
20220225 161944,20220225,161944,10.0,10
20220225 161959,20220225,161959,10.5,12
20220225 161959,20220225,161959,10.5,2
20220225 161959,20220225,161959,10.5,10
20220225 162005,20220225,162005,10.5,2
20220225 162005,20220225,162005,10.5,2
20220225 162021,20220225,162021,10.5,1
20220225 162021,20220225,162021,10.5,1
20220225 162037,20220225,162037,10.0,2
20220225 162037,20220225,162037,10.0,1
20220225 162037,20220225,162037,10.0,1
20220225 162037,20220225,162037,10.0,2
20220225 162037,20220225,162037,10.0,1
20220225 162037,20220225,162037,10.0,1
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,2
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,2
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,2
20220225 162038,20220225,162038,10.0,1
20220225 162038,20220225,162038,10.0,1
20220225 162042,20220225,162042,10.0,2
20220225 162042,20220225,162042,10.0,1
20220225 162042,20220225,162042,10.0,1
20220225 162042,20220225,162042,10.0,2
20220225 162042,20220225,162042,10.0,2
20220225 162047,20220225,162047,10.5,1
20220225 162047,20220225,162047,10.5,1
20220225 162054,20220225,162054,10.5,1
20220225 162054,20220225,162054,10.5,1
20220225 162057,20220225,162057,10.5,1
20220225 162057,20220225,162057,10.5,1
20220225 162112,20220225,162112,10.5,1
20220225 162112,20220225,162112,10.5,1
20220225 162113,20220225,162113,10.0,1
20220225 162113,20220225,162113,10.0,1
20220225 162122,20220225,162122,9.8,1
20220225 162122,20220225,162122,9.8,1
20220225 162148,20220225,162148,10.0,1
20220225 162148,20220225,162148,10.0,1
20220225 162200,20220225,162200,10.0,5
20220225 162200,20220225,162200,10.0,5
20220225 162235,20220225,162235,10.5,2
20220225 162235,20220225,162235,10.5,2
20220225 162250,20220225,162250,11.0,1
20220225 162250,20220225,162250,11.0,1
20220225 162256,20220225,162256,11.0,1
20220225 162256,20220225,162256,11.0,1
20220225 162257,20220225,162257,11.0,1
20220225 162257,20220225,162257,11.0,1
20220225 162259,20220225,162259,11.0,1
20220225 162259,20220225,162259,11.0,1
20220225 162301,20220225,162301,11.0,1
20220225 162301,20220225,162301,11.0,1
20220225 162303,20220225,162303,11.0,1
20220225 162303,20220225,162303,11.0,1
20220225 162311,20220225,162311,11.0,24
20220225 162311,20220225,162311,11.0,10
20220225 162311,20220225,162311,11.0,1
20220225 162311,20220225,162311,11.0,13
20220225 162336,20220225,162336,10.5,3
20220225 162336,20220225,162336,10.5,1
20220225 162336,20220225,162336,10.5,1
20220225 162336,20220225,162336,10.5,1
20220225 162421,20220225,162421,10.5,25
20220225 162421,20220225,162421,10.5,7
20220225 162421,20220225,162421,10.5,2
20220225 162421,20220225,162421,10.5,16
20220225 162431,20220225,162431,10.0,3
20220225 162431,20220225,162431,10.0,1
20220225 162431,20220225,162431,10.0,1
20220225 162431,20220225,162431,10.0,1
20220225 162442,20220225,162442,10.5,1
20220225 162442,20220225,162442,10.5,1
20220225 162456,20220225,162456,10.5,1
20220225 162456,20220225,162456,10.5,1
20220225 162503,20220225,162503,10.5,1
20220225 162503,20220225,162503,10.5,1
20220225 162523,20220225,162523,10.5,1
20220225 162523,20220225,162523,10.5,1
20220225 162613,20220225,162613,10.5,2
20220225 162613,20220225,162613,10.5,1
20220225 162613,20220225,162613,10.5,1
20220225 162705,20220225,162705,10.5,3
20220225 162705,20220225,162705,10.5,1
20220225 162705,20220225,162705,10.5,1
20220225 162705,20220225,162705,10.5,1
20220225 162726,20220225,162726,10.5,3
20220225 162726,20220225,162726,10.5,3
20220225 162750,20220225,162750,10.5,40
20220225 162750,20220225,162750,10.5,28
20220225 162750,20220225,162750,10.5,12
20220225 162750,20220225,162750,10.5,10
20220225 162750,20220225,162750,10.5,10
20220225 162814,20220225,162814,10.5,10
20220225 162814,20220225,162814,10.5,10
20220225 162814,20220225,162814,10.5,10
20220225 162814,20220225,162814,10.5,10
20220225 163035,20220225,163035,10.5,4
20220225 163035,20220225,163035,10.5,3
20220225 163035,20220225,163035,10.5,1
20220225 163108,20220225,163108,10.5,1
20220225 163108,20220225,163108,10.5,1
20220225 163125,20220225,163125,11.0,2
20220225 163125,20220225,163125,11.0,2
20220225 163159,20220225,163159,11.0,1
20220225 163159,20220225,163159,11.0,1
20220225 163209,20220225,163209,11.0,10
20220225 163209,20220225,163209,11.0,1
20220225 163209,20220225,163209,11.0,9
20220225 163212,20220225,163212,11.0,2
20220225 163212,20220225,163212,11.0,2
20220225 163228,20220225,163228,11.0,28
20220225 163228,20220225,163228,11.0,3
20220225 163228,20220225,163228,11.0,23
20220225 163228,20220225,163228,11.0,2
20220225 163301,20220225,163301,11.0,1
20220225 163301,20220225,163301,11.0,1
20220225 163301,20220225,163301,11.0,1
20220225 163301,20220225,163301,11.0,1
20220225 163303,20220225,163303,11.0,11
20220225 163303,20220225,163303,11.0,11
20220225 163318,20220225,163318,11.5,2
20220225 163318,20220225,163318,11.5,1
